keeling.offset.d15Na,keeling.slope.d15Na,keeling.R2.d15Na,keeling.offset.d15Nb,keeling.slope.d15Nb,keeling.R2.d15Nb,keeling.offset.d18O,keeling.slope.d18O,keeling.R2.d18O
-76.118538265574,23078.2669196037,0.00120900641365143,-136.023623218667,44955.9168734781,0.00771446491816041,-17072.4228767745,5427122.60897174,0.900326703491025
-625.374192321507,200537.802337437,0.0282464359101568,-2391.32771762275,772060.847287805,0.464753940435205,-21562.3359376355,6871223.76101914,0.811485627518711
-585.33263447031,184895.683906767,0.0424002043582914,21.3006370887874,-7937.66920073768,0.000269409914861015,-12581.6528142285,3977924.62916912,0.666599583054803
-1475.369703011,473537.744938144,0.295925115758396,36.9601167073139,-11858.4032486855,0.00034471800787664,-13832.3183780154,4380663.91099971,0.788427586029535
-473.728083739592,148408.069856818,0.00380189383292755,520.141229409136,-167378.812183958,0.010126074022071,-277281.493905199,90276475.9961241,0.232198498619262
443.953910613124,-146120.965322116,0.0203598482401632,-72.0497693665406,23940.3137666097,0.000860833904905874,9680.27168087511,-5571521.55718245,0.0116116935508631
1543.76322095131,-505387.40690154,0.389934849710751,331.745091036769,-107159.814135113,0.0775436289662533,-18378.7263001805,2993410.06002075,0.0706198674176814
-3198.98138500834,1030181.26669658,0.753428543008644,-1416.27270492155,455189.400428656,0.610423773034464,-122.868286429178,-2763995.59360787,0.229299968331709
-2193.61948053048,707214.063436864,0.877137074284632,-1077.17377987276,345814.699107792,0.855082655321631,-14027.0190733242,3513561.1283469,0.70276690611015
-1296.98555910312,426590.131758668,0.864343953959922,-818.955172905231,266791.02079584,0.936052795656116,-13980.4200329255,3468231.36893009,0.85946918046055
-1018.0919979264,340835.391865507,0.836927457336624,-1045.61181058484,338837.60801157,0.850345900282696,-13586.6261646168,3380428.30022087,0.722944158807482
-567.720053663876,208479.028429557,0.929920948272568,-191.847119021622,95209.8138076768,0.569246033015558,-18562.6495942819,4850557.60609056,0.97594059789823
1441.74674486924,-462706.799471975,0.231990316691689,310.830486086183,-103955.613768394,0.0419175697967527,-9599.14936447403,3126403.89364656,0.405286809452471
57.5346649972005,-12987.2822403408,0.000542050906595423,234.986899426971,-79053.2716151489,0.0474334562149525,-1298.04898795505,429957.422967633,0.018658216274822
